name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
'Long As You Know You're Living Yours,Keith Jarrett,Belonging,0.4791666666666667,0.605,0.376,5,0.6415076105339453,1,0.0322,0.253,0.207,0.117,0.948,0.6244473895962511,5z7deaTe21B7QVPhSDouL1,0.2948336483931947,4,jazz
"'Ode To Joy' From Symphony No. 9 In D Minor 'Choral', Op. 125",Ludwig van Beethoven,Hallelujah - 35 Great Sacred Choruses,0.3125,0.266,0.516,2,0.7007248127567045,1,0.0498,0.846,0.472,0.305,0.236,0.7534623940928669,3mhzXvn3dqhC3Z3k6l4kEz,0.13304347826086957,4,orchestral
'Round Midnight,Thelonious Monk,Monk Alone: The Complete Columbia Solo Studio Recordings of Thelonious Monk- 1962-1968,0.0,0.518,0.419,8,0.7968833051461707,1,0.0497,0.944,0.82,0.247,0.259,0.3700004733279689,1kAaGwsZioS6AoP78CLbWr,0.16011342155009453,4,jazz
'Round Midnight,Thelonious Monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",0.5416666666666666,0.542,0.32,8,0.7623822179270355,1,0.0387,0.907,0.649,0.0609,0.206,0.5521276092204288,1wl5b2lw3YagQtZiYZbQWP,0.12751134215500945,4,jazz
"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,'Round About Midnight,0.53125,0.494,0.182,10,0.7348151727470403,0,0.0443,0.79,0.00036,0.129,0.21,0.5333885549297107,5vb7At47uO0yPGfmYnAHuw,0.2801512287334594,4,jazz
'Till I Collapse,Eminem,The Eminem Show,0.0,0.551,0.851,1,0.9242087460739309,1,0.197,0.0748,0.0,0.0784,0.1,0.811336204856345,6yr8GiTHWvFfi4o6Q5ebdT,0.2258601134215501,4,hiphop
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,0.75,0.333,0.927,9,0.7968108238705002,0,0.0733,0.0029,0.000208,0.297,0.385,0.6695981445543617,5QTxFnGygVM4jFQiBovmRo,0.2355264650283554,4,rock
(Every Time I Turn Around) Back In Love Again,L.T.D.,Disco Top 50,0.010416666666666666,0.793,0.846,10,0.842884754771684,0,0.052,0.00381,0.000372,0.0605,0.923,0.5173616699010745,5Ftk8E8A9FXYSsArdzM9yy,0.43348487712665407,4,disco
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,0.7708333333333334,0.723,0.863,2,0.8127567045179995,1,0.0338,0.0383,0.0317,0.128,0.931,0.6451554882377999,2PzU4IB8Dr6mxV3lHuaG34,0.1548960302457467,4,rock
(I Get So) Emotional,James Vickery,(I Get So) Emotional,0.5,0.476,0.503,3,0.7483450108721914,1,0.0634,0.655,2.24e-05,0.202,0.279,0.35474511288872057,4AHFGnD2G51kpRhZEgho8a,0.12274763705103969,4,R&B
(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,0.5833333333333334,0.313,0.078,0,0.5785697028267698,1,0.0332,0.955,4.48e-06,0.169,0.125,0.6061674634354144,1bYItjcPRtxZs6Ir71O5RB,0.10588563327032136,4,jazz
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Dirty Dancing (Original Motion Picture Soundtrack),0.6666666666666666,0.697,0.669,6,0.6959893694129017,0,0.0406,0.0404,0.00897,0.0654,0.486,0.5135892459885454,6W7ztLBiRzBN46ZaPAcQ0F,0.21871455576559545,4,disco
(Shake Shake Shake) Shake Your Booty,KC & The Sunshine Band,"Dance Grooves 70´s & 80´s - Disco, Soul & Funk",0.08333333333333333,0.651,0.945,10,0.8119835709108482,1,0.0361,0.169,0.475,0.15,0.939,0.5315094428929805,2ShlmCf4hlWpIi5GQiAdRy,0.11976086956521739,4,disco
007 (Shanty Town),Desmond Dekker,007 Shanty Town,0.5520833333333334,0.831,0.65,9,0.8944672626238221,1,0.0601,0.155,0.262,0.105,0.826,0.48128461210772944,7LOAChK8Lkj8ZdF1LuhNWP,0.08878449905482041,4,reggae
03' Bonnie & Clyde,JAY-Z,The Blueprint 2: The Gift & The Curse,0.7083333333333334,0.759,0.678,9,0.8790045904807926,0,0.314,0.23,0.0,0.15,0.327,0.42429119136649784,5ljCWsDlSyJ41kwqym2ORw,0.13858884688090736,4,hiphop
"1, 2 Many",Luke Combs,What You See Is What You Get,0.0,0.54,0.821,6,0.9118386083595071,1,0.0875,0.0397,0.0,0.423,0.685,0.7042694182799261,6pgN3d6oBrhmrSAKBfWNsf,0.11528733459357278,4,country
10 Freaky Girls (with 21 Savage),Metro Boomin,NOT ALL HEROES WEAR CAPES,0.0,0.81,0.353,6,0.7634452766368689,0,0.31,0.588,0.0,0.102,0.0727,0.41667534434609743,43lYaovU2FoeuBMNusVVVW,0.14117202268431,4,hiphop
100 Shots,Young Dolph,Bulletproof,0.6666666666666666,0.798,0.668,8,0.8766851896593381,1,0.25,0.135,4.6e-06,0.0583,0.154,0.6342878780707152,3TXy6nchgKeYlVwOKNk9lE,0.1945992438563327,4,hiphop
100 Years,Five For Fighting,The Battle For Everything,0.5,0.643,0.569,7,0.823169847789321,1,0.0276,0.544,2.17e-05,0.178,0.275,0.5703933355421972,0B5KeB25moPkcQUnbDvj3t,0.17548865784499054,4,pop
1000hp,Godsmack,1000hp,0.5729166666666666,0.515,0.95,2,0.9087219135056778,1,0.0526,3.94e-05,3.75e-06,0.0366,0.464,0.436086524352724,2DpLoT8qfJdZhsLGFg413r,0.15834971644612478,4,metal
10:35,Tiësto,10:35,0.9166666666666666,0.696,0.793,8,0.8648707417250544,1,0.097,0.0683,3.78e-06,0.18,0.698,0.5680077625786908,6BePGk3eCan4FqaW2X8Qy3,0.10710775047258979,4,electronic
11 Blocks,Wrabel,11 Blocks,0.5104166666666666,0.553,0.711,0,0.900096641700894,1,0.0378,0.0216,0.0,0.142,0.293,0.47103232830027925,7nZBRPj89rgeZ5eBLp2J7P,0.1543289224952741,4,electronic
1400 / 999 Freestyle,Trippie Redd,A Love Letter To You 3,0.7708333333333334,0.825,0.572,6,0.8568011597004107,0,0.0864,0.0079,0.0,0.113,0.568,0.6720831163913475,75lcPkAkUsKWHGBlGM476R,0.11060586011342155,4,hiphop
